Electoral_District,Electoral_District_Name,Polling_Station_Number,Polling_Station_Name,Electors_for_Polling_Station,Candidate_Family_Name,Candidate_Middle_Name,Candidate_First_Name,Political_Affiliation_Name_English,Incumbent_Indicator,Elected_Candidate_Indicator,Candidate_Poll_Votes_Count
35001,Ajax,1,Ajax,503,Alexander,,Chris,Conservative,Y,N,99
35001,Ajax,1,Ajax,503,Brown,,Stephanie,NDP-New Democratic Party,N,N,10
35001,Ajax,1,Ajax,503,Hill,,Jeff,Green Party,N,N,1
35001,Ajax,1,Ajax,503,Holland,,Mark,Liberal,N,Y,100
35001,Ajax,1,Ajax,503,Kesic,,Bob,United Party,N,N,0
35001,Ajax,2,Ajax,406,Alexander,,Chris,Conservative,Y,N,86
35001,Ajax,2,Ajax,406,Brown,,Stephanie,NDP-New Democratic Party,N,N,13
35001,Ajax,2,Ajax,406,Hill,,Jeff,Green Party,N,N,1
35001,Ajax,2,Ajax,406,Holland,,Mark,Liberal,N,Y,113
35001,Ajax,2,Ajax,406,Kesic,,Bob,United Party,N,N,0
35001,Ajax,3,Ajax,497,Alexander,,Chris,Conservative,Y,N,68
35001,Ajax,3,Ajax,497,Brown,,Stephanie,NDP-New Democratic Party,N,N,18
35001,Ajax,3,Ajax,497,Hill,,Jeff,Green Party,N,N,3
35001,Ajax,3,Ajax,497,Holland,,Mark,Liberal,N,Y,159
35001,Ajax,3,Ajax,497,Kesic,,Bob,United Party,N,N,0
35001,Ajax, 4A,Ajax,366,Alexander,,Chris,Conservative,Y,N,42
35001,Ajax, 4A,Ajax,366,Brown,,Stephanie,NDP-New Democratic Party,N,N,18
35001,Ajax, 4A,Ajax,366,Hill,,Jeff,Green Party,N,N,1
35001,Ajax, 4A,Ajax,366,Holland,,Mark,Liberal,N,Y,108
35001,Ajax, 4A,Ajax,366,Kesic,,Bob,United Party,N,N,0
35001,Ajax, 4B,Ajax,325,Alexander,,Chris,Conservative,Y,N,29
35001,Ajax, 4B,Ajax,325,Brown,,Stephanie,NDP-New Democratic Party,N,N,10
35001,Ajax, 4B,Ajax,325,Hill,,Jeff,Green Party,N,N,0
35001,Ajax, 4B,Ajax,325,Holland,,Mark,Liberal,N,Y,129
35001,Ajax, 4B,Ajax,325,Kesic,,Bob,United Party,N,N,0
35001,Ajax,5,Ajax,450,Alexander,,Chris,Conservative,Y,N,67
35001,Ajax,5,Ajax,450,Brown,,Stephanie,NDP-New Democratic Party,N,N,21
35001,Ajax,5,Ajax,450,Hill,,Jeff,Green Party,N,N,3
35001,Ajax,5,Ajax,450,Holland,,Mark,Liberal,N,Y,149
35001,Ajax,5,Ajax,450,Kesic,,Bob,United Party,N,N,1
35001,Ajax,6,Ajax,409,Alexander,,Chris,Conservative,Y,N,85
35001,Ajax,6,Ajax,409,Brown,,Stephanie,NDP-New Democratic Party,N,N,5
35001,Ajax,6,Ajax,409,Hill,,Jeff,Green Party,N,N,0
35001,Ajax,6,Ajax,409,Holland,,Mark,Liberal,N,Y,109
35001,Ajax,6,Ajax,409,Kesic,,Bob,United Party,N,N,0
35001,Ajax,7,Ajax,480,Alexander,,Chris,Conservative,Y,N,67
35001,Ajax,7,Ajax,480,Brown,,Stephanie,NDP-New Democratic Party,N,N,27
35001,Ajax,7,Ajax,480,Hill,,Jeff,Green Party,N,N,3
35001,Ajax,7,Ajax,480,Holland,,Mark,Liberal,N,Y,146
35001,Ajax,7,Ajax,480,Kesic,,Bob,United Party,N,N,1
35001,Ajax,8,Ajax,512,Alexander,,Chris,Conservative,Y,N,52
35001,Ajax,8,Ajax,512,Brown,,Stephanie,NDP-New Democratic Party,N,N,14
35001,Ajax,8,Ajax,512,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,8,Ajax,512,Holland,,Mark,Liberal,N,Y,177
35001,Ajax,8,Ajax,512,Kesic,,Bob,United Party,N,N,0
35001,Ajax,9,Ajax,462,Alexander,,Chris,Conservative,Y,N,70
35001,Ajax,9,Ajax,462,Brown,,Stephanie,NDP-New Democratic Party,N,N,16
35001,Ajax,9,Ajax,462,Hill,,Jeff,Green Party,N,N,1
35001,Ajax,9,Ajax,462,Holland,,Mark,Liberal,N,Y,160
35001,Ajax,9,Ajax,462,Kesic,,Bob,United Party,N,N,0
35001,Ajax,10,Ajax,456,Alexander,,Chris,Conservative,Y,N,57
35001,Ajax,10,Ajax,456,Brown,,Stephanie,NDP-New Democratic Party,N,N,13
35001,Ajax,10,Ajax,456,Hill,,Jeff,Green Party,N,N,1
35001,Ajax,10,Ajax,456,Holland,,Mark,Liberal,N,Y,149
35001,Ajax,10,Ajax,456,Kesic,,Bob,United Party,N,N,0
35001,Ajax,11,Ajax,487,Alexander,,Chris,Conservative,Y,N,76
35001,Ajax,11,Ajax,487,Brown,,Stephanie,NDP-New Democratic Party,N,N,21
35001,Ajax,11,Ajax,487,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,11,Ajax,487,Holland,,Mark,Liberal,N,Y,165
35001,Ajax,11,Ajax,487,Kesic,,Bob,United Party,N,N,0
35001,Ajax,12,Ajax,540,Alexander,,Chris,Conservative,Y,N,64
35001,Ajax,12,Ajax,540,Brown,,Stephanie,NDP-New Democratic Party,N,N,22
35001,Ajax,12,Ajax,540,Hill,,Jeff,Green Party,N,N,4
35001,Ajax,12,Ajax,540,Holland,,Mark,Liberal,N,Y,175
35001,Ajax,12,Ajax,540,Kesic,,Bob,United Party,N,N,0
35001,Ajax, 13A,Ajax,286,Alexander,,Chris,Conservative,Y,N,41
35001,Ajax, 13A,Ajax,286,Brown,,Stephanie,NDP-New Democratic Party,N,N,10
35001,Ajax, 13A,Ajax,286,Hill,,Jeff,Green Party,N,N,1
35001,Ajax, 13A,Ajax,286,Holland,,Mark,Liberal,N,Y,92
35001,Ajax, 13A,Ajax,286,Kesic,,Bob,United Party,N,N,0
35001,Ajax, 13B,Ajax,276,Alexander,,Chris,Conservative,Y,N,45
